Date,Country,Bias motivations,Type of incident,Source,Description
2016-03,Russian Federation,Anti-LGBTI hate crime,Violent attacks against people,"""Coming Out"" LGBT Group, Russian LGBT Network","A gay man was physically assaulted, insulted and threatened because of his sexual orientation."
2016-03,Russian Federation,Anti-LGBTI hate crime,Violent attacks against people,"""Coming Out"" LGBT Group, Russian LGBT Network",Patrons at a gay club were physically assaulted by a group.
2016-12,Russian Federation,Anti-LGBTI hate crime,Violent attacks against people,"""Coming Out"" LGBT Group, Russian LGBT Network",A man perceived to be gay was insulted and physically assaulted by a group during a party.
2016-05,Russian Federation,Anti-LGBTI hate crime,Violent attacks against people,"""Coming Out"" LGBT Group, Russian LGBT Network",A man perceived as gay was physically assaulted for having a rainbow ribbon on his backpack. The victim's phone was also damaged.
2016-02,Russian Federation,Anti-LGBTI hate crime,Violent attacks against people,"""Coming Out"" LGBT Group, Russian LGBT Network",A man perceived as gay was physically assaulted in the street after being questioned about his sexual orientation.The perpetrator was arrested.
2016-01,Russian Federation,Anti-LGBTI hate crime,Violent attacks against people,"""Coming Out"" LGBT Group, Russian LGBT Network",A man perceived to be gay was physically assaulted and subjected to homophobic insults by a group. The victim was hospitalized.
2016-01,Russian Federation,Anti-LGBTI hate crime,Violent attacks against people,"""Coming Out"" LGBT Group, Russian LGBT Network",Four men were subjected to homophobic insults and physically assaulted by a large group under the influence of alcohol.
2016-02,Russian Federation,Anti-LGBTI hate crime,Violent attacks against people,"""Coming Out"" LGBT Group, Russian LGBT Network","A man perceived as gay was repeatedly harassed, insulted and physically assaulted by a group over a period of two weeks."
2016-01,Russian Federation,Anti-LGBTI hate crime,Threats,"""Coming Out"" LGBT Group, Russian LGBT Network","A gay man was ambushed, robbed and blackmailed because of his sexual orientation."
2016-02,Russian Federation,Anti-LGBTI hate crime,Violent attacks against people,"""Coming Out"" LGBT Group, Russian LGBT Network","A gay man was ambushed, physically assaulted and robbed by a group. The perpetrators were arrested."
2016-08,Russian Federation,Anti-LGBTI hate crime,Violent attacks against people,"""Coming Out"" LGBT Group, Russian LGBT Network",Two gay men were attacked and threatened by a group armed with clubs.
2016-11,Russian Federation,Anti-LGBTI hate crime,Violent attacks against people,"""Coming Out"" LGBT Group, Russian LGBT Network","A gay man was ambushed, physically assaulted, insulted, robbed and blackmailed by a group."
2016-12,Russian Federation,Anti-LGBTI hate crime,Violent attacks against people,"""Coming Out"" LGBT Group, Russian LGBT Network",A transgender woman was abducted and sexually assaulted by a group. Two perpetrators were arrested.
2016-11,Russian Federation,Anti-LGBTI hate crime,Threats,"""Coming Out"" LGBT Group, Russian LGBT Network",A gay man was blackmailed after his sexual orientation was discovered.
2016-07,Russian Federation,Anti-LGBTI hate crime,Threats,"""Coming Out"" LGBT Group, Russian LGBT Network",A gay man was threatened and blackmailed because of his sexual orientation by police officers while he was in custody.
2016-07,Russian Federation,Anti-LGBTI hate crime,Threats,"""Coming Out"" LGBT Group, Russian LGBT Network","A gay man was physically assaulted, insulted and threatened while carrying a poster for a campaign against homophobia."
2016-03,Russian Federation,Anti-LGBTI hate crime,Violent attacks against people,"""Coming Out"" LGBT Group, Russian LGBT Network",A man wearing a skirt was insulted and physically assaulted by a group on International Women's Day.
2016-08,Russian Federation,Anti-LGBTI hate crime,Violent attacks against people,"""Coming Out"" LGBT Group, Russian LGBT Network",A gay man was ambushed and robbed.
2016-06,Russian Federation,Anti-LGBTI hate crime,Threats,"""Coming Out"" LGBT Group, Russian LGBT Network",A transgender teenager was threatened and harrassed by a group.
2016-02,Russian Federation,Anti-LGBTI hate crime,Threats,"""Coming Out"" LGBT Group, Russian LGBT Network",Two gay men were insulted and threatened after revealing their sexual orientation.
2016-02,Russian Federation,Anti-LGBTI hate crime,Violent attacks against people,"""Coming Out"" LGBT Group, Russian LGBT Network",A gay man and his friend were attacked by a group in a cinema.
2016-03,Russian Federation,Anti-LGBTI hate crime,Violent attacks against people,"""Coming Out"" LGBT Group, Russian LGBT Network",Patrons at an LGBT event were assaulted by a group.
2016-01,Russian Federation,Anti-LGBTI hate crime,Violent attacks against people,"""Coming Out"" LGBT Group, Russian LGBT Network","A gay man died after he was severely beaten, abducted and left on a roadside. The victim had just revealed his sexual orientation. The perpetrators were arrested."
2016-05,Russian Federation,Anti-LGBTI hate crime,Violent attacks against people,"""Coming Out"" LGBT Group, Russian LGBT Network",A gay journalist was severely beaten and stabbed to death in his apartment.The perpetrator was arrested.
2016-04,Russian Federation,Anti-LGBTI hate crime,Violent attacks against people,"""Coming Out"" LGBT Group, Russian LGBT Network",A gay man was killed after he was physically assaulted and thrown from a moving train after making sexual advances. The perpetrator was arrested.
2016-03,Russian Federation,Anti-LGBTI hate crime,Violent attacks against people,"""Coming Out"" LGBT Group, Russian LGBT Network",A gay journalist was stabbed to death in his apartment. Homophobic statements were made. The perpetrator was arrested and sentenced.
2016-01,Russian Federation,Anti-LGBTI hate crime,Violent attacks against people,"""Coming Out"" LGBT Group, Russian LGBT Network",A transgender woman was killed after she was ambushed and sexually assaulted.
2016-03,Russian Federation,Anti-LGBTI hate crime,Violent attacks against people,"""Coming Out"" LGBT Group, Russian LGBT Network",A gay club's DJ was physically assaulted and his phone was stolen. The phone was used to send homophobic messages to the victim's contacts.
2016-07,Russian Federation,Anti-LGBTI hate crime,Threats,"""Coming Out"" LGBT Group, Russian LGBT Network",A gay man was insulted and attacked because of a rainbow sticker on the victim's laptop.
2016-08,Russian Federation,Anti-LGBTI hate crime,Violent attacks against people,"""Coming Out"" LGBT Group, Russian LGBT Network",A transgender man was physically assaulted and subjected to homophobic slurs while travelling on the metro.
2016-08,Russian Federation,Anti-LGBTI hate crime,Violent attacks against people,"""Coming Out"" LGBT Group, Russian LGBT Network",A transgender man was physically assaulted and subjected to homophobic insults while travelling in the metro.
2016-07,Russian Federation,Anti-LGBTI hate crime,Threats,"""Coming Out"" LGBT Group, Russian LGBT Network",A gay couple was physically assaulted and insulted by a group.
2016-08,Russian Federation,Anti-LGBTI hate crime,Violent attacks against people,"""Coming Out"" LGBT Group, Russian LGBT Network",A gay couple was physically assaulted and insulted by a group.
2016-01,Russian Federation,Anti-LGBTI hate crime,Violent attacks against people,"""Coming Out"" LGBT Group, Russian LGBT Network","A gay man was ambushed, blackmailed and robbed by a group."
2016-01,Russian Federation,Anti-LGBTI hate crime,Violent attacks against people,"""Coming Out"" LGBT Group, Russian LGBT Network","A gay man was ambushed, blackmailed and robbed by a group."
2016-03,Russian Federation,Anti-LGBTI hate crime,Threats,"""Coming Out"" LGBT Group, Russian LGBT Network","A gay man was ambushed, blackmailed and robbed by a group."
2016-09,Russian Federation,Anti-LGBTI hate crime,Violent attacks against people,"""Coming Out"" LGBT Group, Russian LGBT Network","A gay man was ambushed, blackmailed and robbed by a group."
2016-08,Spain,Anti-Christian hate crime,Violent attacks against people,"OIDAC, OLRC",A Catholic monk was physically assaulted. The perpetrator attempted to tear off the crucifix pendant worn by the victim.
2016-09,Spain,Anti-Muslim hate crime,Violent attacks against people,OLRC,A Muslim couple was physically attacked and insulted.
2016-10,Spain,Anti-Christian hate crime,Violent attacks against people,OLRC,"During a religious service, hosts were grabbed from a priest and thrown to the floor."
2016-11,Spain,Anti-Christian hate crime,Violent attacks against people,"OIDAC, OLRC",A priest was physically assaulted in front of worshipers while he was celebrating mass.
2016-01,Spain,Anti-Christian hate crime,Attacks against property,"OIDAC, OLRC",A Catholic church was vandalized with graffiti.
2016-01,Spain,Anti-Christian hate crime,Attacks against property,OLRC,A church was vandalized with graffiti.
2016-01,Spain,Anti-Christian hate crime,Attacks against property,"OIDAC, OLRC","A Catholic church was vandalized, its doors were damaged, a statue was broken, and religious items and multimedia equipment were stolen."
2016-02,Spain,Anti-Christian hate crime,Attacks against property,"OIDAC, OLRC",A Catholic church was vandalized and several religious items were stolen.
2016-02,Spain,Anti-Christian hate crime,Attacks against property,"OIDAC, OLRC",A Catholic church was vandalized with graffiti.
2016-03,Spain,Anti-Christian hate crime,Attacks against property,OLRC,A Catholic church was vandalized with graffiti.
2016-03,Spain,Anti-Christian hate crime,Attacks against property,OLRC,A church was vandalized with graffiti.
2016-03,Spain,Anti-Christian hate crime,Attacks against property,"OIDAC, OLRC","A tabernacle, including consecrated hosts, was stolen."
2016-03,Spain,Anti-Christian hate crime,Attacks against property,"OIDAC, OLRC",A Catholic church was burgled and vandalized and hosts were thrown to the floor. Eight thousand Euros were stolen.
2016-03,Spain,Anti-Muslim hate crime,Attacks against property,OLRC,A mosque had flares shot at it and an anti-Muslim banner was hung in front of the building.
2016-03,Spain,Anti-Christian hate crime,Attacks against property,"OIDAC, OLRC",A Catholic church was vandalized with graffiti for the second time in two months.
2016-03,Spain,Anti-Christian hate crime,Attacks against property,"OIDAC, OLRC",A religious statue was intentionally damaged inside a Catholic church.
2016-03,Spain,Anti-Christian hate crime,Attacks against property,"OIDAC, OLRC",A Catholic church was vandalized with graffiti.
2016-04,Spain,Anti-Christian hate crime,Attacks against property,"OIDAC, OLRC",A Catholic church was vandalized with graffiti.
2016-04,Spain,Anti-Muslim hate crime,Attacks against property,OLRC,A mosque was vandalized with graffiti.
2016-05,Spain,Anti-Christian hate crime,Attacks against property,"OIDAC, OLRC",A tabernacle was stolen from a church and consecrated hosts were thrown on the street.
2016-06,Spain,Anti-Christian hate crime,Attacks against property,"OIDAC, OLRC",Several rubbish containers at the entrance of a Catholic church were set on fire.
2016-06,Spain,Anti-Christian hate crime,Attacks against property,"OIDAC, OLRC",A Catholic cathedral was vandalized with graffiti.
2016-06,Spain,Anti-Christian hate crime,Attacks against property,"OIDAC, OLRC",A university chapel was broken into and vandalized with graffiti.
